Estudiante_ID,Edad,Horas_de_estudio,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias,Genero,Comuna
154,18,36,82,67,38,prefiero no decirlo,Concepción
155,19,14,54,36,41,prefiero no decirlo,Coronel
156,24,7,44,34,54,masculino,Concepción
157,18,33,15,96,23,femenino,Penco
158,21,8,29,60,11,masculino,Coronel
159,18,14,72,43,28,masculino,Concepción
160,18,11,77,29,98,masculino,Tomé
161,24,9,28,57,94,femenino,San Pedro
162,25,20,39,72,46,femenino,Coronel
163,19,23,74,15,23,prefiero no decirlo,Coronel
164,21,35,24,27,67,femenino,Concepción
165,22,33,44,49,38,masculino,Lota
166,25,22,94,31,56,prefiero no decirlo,Penco
167,22,12,38,51,44,prefiero no decirlo,Lota
168,19,8,51,41,14,femenino,Lota
169,21,39,23,46,57,masculino,Hualpén
170,24,22,40,88,47,masculino,Hualpén
171,19,36,48,5,14,prefiero no decirlo,Lota
172,21,6,8,73,58,prefiero no decirlo,Hualpén
173,20,19,45,61,20,femenino,Lota
174,21,21,65,35,2,femenino,Tomé
175,18,30,45,20,78,femenino,Hualpén
176,25,35,86,15,14,masculino,Lota
177,18,37,26,69,28,masculino,Concepción
178,18,38,21,50,69,femenino,Hualpén
179,24,9,5,50,79,femenino,Coronel
180,24,27,40,94,15,femenino,Penco
181,21,11,22,80,31,femenino,Lota
182,23,15,84,53,23,masculino,Concepción
183,23,30,54,98,80,prefiero no decirlo,Penco
184,20,29,11,50,15,masculino,Hualpén
185,25,35,8,46,88,femenino,Concepción
186,22,18,5,42,37,femenino,Coronel
187,24,26,20,78,53,prefiero no decirlo,Lota
188,25,14,44,17,7,masculino,Concepción
189,22,8,99,47,30,masculino,Coronel
190,25,13,3,95,48,prefiero no decirlo,Coronel
191,21,27,77,20,22,masculino,Tomé
192,23,35,8,1,85,prefiero no decirlo,Hualpén
193,21,34,60,55,56,masculino,Arauco
194,24,27,97,5,31,prefiero no decirlo,Hualpén
195,20,30,24,10,21,prefiero no decirlo,Coronel
196,21,30,26,16,81,prefiero no decirlo,Penco
197,19,26,39,7,20,masculino,San Pedro
198,25,15,17,98,94,femenino,Tomé
199,24,13,13,42,99,prefiero no decirlo,Arauco
200,24,17,92,47,80,femenino,San Pedro
201,22,6,35,66,50,femenino,Tomé
202,21,26,48,27,41,masculino,Concepción
203,20,17,35,93,34,masculino,San Pedro
204,22,35,82,67,55,prefiero no decirlo,Tomé
205,20,5,79,6,99,prefiero no decirlo,Concepción
206,24,5,62,97,11,masculino,Penco
207,21,8,1,66,100,femenino,Arauco
208,20,13,3,29,13,femenino,Penco
209,21,8,88,73,84,femenino,Penco
210,24,36,9,96,81,femenino,San Pedro
211,24,12,79,13,1,femenino,Penco
212,19,17,31,65,78,masculino,Penco
213,22,25,36,29,60,masculino,Concepción
214,21,37,82,35,2,femenino,Tomé
215,20,22,81,52,16,masculino,Coronel
216,19,27,30,62,89,masculino,Coronel
217,20,38,31,50,76,prefiero no decirlo,Coronel
218,20,20,33,85,96,femenino,Concepción
219,18,38,68,72,87,masculino,Penco
220,20,19,71,10,61,masculino,Lota
221,23,14,25,52,73,prefiero no decirlo,Coronel
222,18,11,54,99,31,prefiero no decirlo,Lota
223,21,5,3,40,34,femenino,Coronel
224,21,26,92,52,3,femenino,Coronel
225,24,20,14,36,38,femenino,Lota
226,24,27,67,74,17,masculino,Hualpén
227,20,29,7,80,65,femenino,Lota
228,22,33,77,64,96,femenino,Tomé
229,24,20,57,70,94,masculino,Hualpén
230,23,6,99,33,25,prefiero no decirlo,Coronel
231,24,18,48,20,65,masculino,Arauco
232,20,6,35,93,89,masculino,Concepción
233,18,8,74,75,42,prefiero no decirlo,Hualpén
234,24,16,35,68,30,masculino,Penco
235,21,38,6,66,45,masculino,San Pedro
236,20,31,87,30,60,masculino,Hualpén
237,20,16,79,9,74,masculino,San Pedro
238,21,6,57,55,97,masculino,Hualpén
239,25,16,83,45,48,prefiero no decirlo,Concepción
240,20,24,9,21,59,prefiero no decirlo,Tomé
241,22,25,28,72,92,masculino,Coronel
242,22,18,40,79,74,femenino,Penco
243,19,36,86,74,2,prefiero no decirlo,Lota
244,22,21,82,39,51,masculino,Coronel
245,24,9,93,50,33,femenino,Lota
246,19,22,66,82,2,prefiero no decirlo,Coronel
247,22,32,35,87,90,prefiero no decirlo,Penco
248,22,37,98,24,6,prefiero no decirlo,Lota
249,21,14,49,82,84,masculino,Concepción
250,21,25,3,74,68,femenino,San Pedro
251,25,16,55,50,30,femenino,Tomé
252,25,7,30,78,35,prefiero no decirlo,Coronel
253,18,27,44,76,81,masculino,Arauco
254,25,21,82,28,93,masculino,Penco
255,22,17,31,20,96,masculino,Penco
256,21,33,99,19,28,masculino,Concepción
257,25,13,59,58,85,prefiero no decirlo,Arauco
258,25,38,84,84,90,masculino,Concepción
259,20,21,55,53,88,prefiero no decirlo,San Pedro
260,18,10,27,10,56,masculino,Tomé
261,23,26,98,7,9,prefiero no decirlo,San Pedro
262,21,31,85,52,81,femenino,Tomé
263,21,21,69,57,76,femenino,Arauco
264,21,29,9,56,64,masculino,Arauco
265,24,25,20,39,47,masculino,San Pedro
266,20,19,75,12,84,masculino,San Pedro
267,18,17,59,66,76,femenino,Arauco
268,21,18,11,43,3,prefiero no decirlo,San Pedro
269,18,29,36,3,51,masculino,Penco
270,23,27,78,40,77,masculino,Penco
271,25,13,20,76,31,femenino,Tomé
272,23,29,12,84,51,masculino,Penco
273,21,9,88,94,97,femenino,Coronel
274,18,13,43,90,28,prefiero no decirlo,Lota
275,21,35,71,69,28,femenino,Lota
276,21,16,29,51,93,femenino,Penco
277,25,11,26,13,80,masculino,Coronel
278,22,23,86,28,5,masculino,Hualpén
279,20,23,13,24,38,prefiero no decirlo,Hualpén
280,21,31,39,15,14,femenino,Arauco
281,20,32,84,70,71,prefiero no decirlo,Tomé
282,23,23,24,57,42,femenino,Tomé
283,23,22,82,55,57,prefiero no decirlo,Lota
284,18,13,94,35,81,masculino,Arauco
285,24,28,45,38,79,masculino,Tomé
286,23,23,62,73,88,masculino,Coronel
287,20,20,14,17,29,masculino,Tomé
288,18,33,82,65,10,prefiero no decirlo,Hualpén
289,23,35,10,84,8,prefiero no decirlo,Lota
290,23,21,13,25,60,masculino,Lota
291,22,8,57,34,68,femenino,San Pedro
292,23,5,10,55,69,prefiero no decirlo,Coronel
293,23,21,74,69,85,masculino,Penco
294,18,30,40,75,55,prefiero no decirlo,Lota
295,21,14,30,46,27,prefiero no decirlo,Coronel
296,20,36,35,68,64,masculino,Arauco
297,19,32,78,70,4,prefiero no decirlo,Lota
298,18,29,93,33,91,masculino,Tomé
299,20,31,77,91,24,femenino,Coronel
300,25,23,16,42,48,prefiero no decirlo,Lota
301,24,32,21,15,55,femenino,San Pedro
302,18,26,77,32,40,femenino,Arauco
303,18,39,49,46,38,prefiero no decirlo,Arauco
304,25,38,63,6,58,femenino,Concepción
305,23,11,30,73,75,prefiero no decirlo,Hualpén
306,18,39,9,2,32,prefiero no decirlo,Penco
307,25,25,36,97,64,masculino,Coronel
308,22,16,24,6,91,masculino,Lota
309,20,25,2,41,97,femenino,San Pedro
310,18,17,68,73,18,prefiero no decirlo,Penco
311,21,34,68,72,13,masculino,Coronel
312,21,16,56,96,20,femenino,Coronel
313,20,8,88,31,71,femenino,Coronel
314,21,12,62,82,92,prefiero no decirlo,San Pedro
315,25,29,24,28,3,prefiero no decirlo,San Pedro
316,22,17,11,3,96,masculino,Arauco
317,24,24,66,61,39,masculino,Concepción
318,22,34,66,13,56,femenino,Coronel
319,18,12,15,83,37,prefiero no decirlo,Lota
320,22,32,31,63,33,femenino,Penco
321,22,5,59,65,100,masculino,Arauco
322,19,34,58,18,14,femenino,Tomé
323,23,23,11,4,35,femenino,Arauco
324,22,21,44,51,73,femenino,Concepción
325,18,7,89,13,82,femenino,Concepción
326,23,24,9,83,67,femenino,Concepción
327,23,18,9,71,1,masculino,Concepción
328,24,21,98,91,80,masculino,Arauco
329,21,16,2,80,70,prefiero no decirlo,Lota
330,23,33,80,100,12,femenino,Hualpén
331,23,32,30,77,83,femenino,Tomé
332,22,16,53,69,28,masculino,Hualpén
333,22,6,96,94,15,prefiero no decirlo,Penco
334,22,6,18,30,83,prefiero no decirlo,Penco
335,25,13,29,73,90,prefiero no decirlo,Coronel
336,19,23,27,76,73,femenino,Concepción
337,22,32,91,67,13,prefiero no decirlo,Penco
338,23,18,13,35,30,femenino,San Pedro
339,21,22,42,70,52,femenino,San Pedro
340,20,24,93,54,17,femenino,Concepción
341,22,31,35,40,76,prefiero no decirlo,Arauco
342,22,17,24,86,26,prefiero no decirlo,Concepción
343,19,20,9,25,86,masculino,Tomé
344,20,15,58,32,73,masculino,San Pedro
345,22,32,82,99,74,femenino,Coronel
346,21,16,90,60,3,femenino,San Pedro
347,23,19,34,12,48,prefiero no decirlo,Coronel
348,23,13,51,98,69,femenino,Tomé
349,25,32,85,19,93,femenino,Coronel
350,18,14,69,14,85,femenino,Lota
351,21,26,18,11,91,masculino,Hualpén
352,25,34,78,79,42,masculino,Lota
353,19,24,16,13,54,femenino,Hualpén
354,23,12,56,20,23,masculino,Tomé
355,23,18,100,100,16,femenino,San Pedro
356,20,12,53,32,42,femenino,Penco
357,23,22,81,4,39,prefiero no decirlo,Concepción
358,21,29,97,23,59,masculino,Hualpén
359,22,11,35,63,98,femenino,San Pedro
360,21,5,14,79,75,femenino,San Pedro
361,18,8,65,42,26,prefiero no decirlo,Hualpén
362,25,17,55,14,38,masculino,Arauco
363,25,18,70,44,8,femenino,Concepción
364,20,33,64,69,69,prefiero no decirlo,San Pedro
365,22,35,21,26,22,prefiero no decirlo,Hualpén
366,20,25,99,76,63,femenino,Tomé
367,24,19,82,28,39,femenino,Tomé
368,23,16,58,53,24,femenino,Coronel
369,23,13,36,93,85,prefiero no decirlo,Penco
370,23,18,48,50,100,prefiero no decirlo,San Pedro
371,19,23,91,72,13,femenino,Hualpén
372,24,8,92,100,15,prefiero no decirlo,Tomé
373,19,9,53,92,91,prefiero no decirlo,San Pedro
374,22,15,73,69,58,femenino,Coronel
375,22,30,55,69,64,femenino,Coronel
376,24,14,67,31,65,masculino,Lota
377,22,7,60,32,56,femenino,Tomé
378,20,20,9,95,5,prefiero no decirlo,Concepción
379,19,26,35,53,37,femenino,Concepción
380,22,35,57,69,12,prefiero no decirlo,San Pedro
381,24,19,23,39,38,prefiero no decirlo,Arauco
382,20,14,22,59,78,femenino,Lota
383,23,17,93,83,1,femenino,Lota
384,22,5,96,16,35,femenino,Lota
385,24,30,78,38,83,femenino,Hualpén
386,22,38,64,35,44,masculino,Lota
387,22,15,27,31,75,masculino,Penco
388,23,30,89,26,46,masculino,Penco
389,25,15,39,73,94,masculino,Penco
390,20,39,70,49,40,masculino,Tomé
391,25,34,19,63,70,prefiero no decirlo,Lota
392,21,25,8,60,72,masculino,Penco
393,18,23,45,34,94,masculino,Tomé
394,19,37,51,71,57,prefiero no decirlo,Hualpén
395,22,39,28,52,43,masculino,Penco
396,24,26,48,77,8,femenino,San Pedro
397,22,22,69,7,85,masculino,Lota
398,25,19,64,97,12,femenino,Coronel
399,19,12,88,73,78,masculino,San Pedro
400,25,29,27,24,46,femenino,Concepción
401,25,34,44,50,32,masculino,Arauco
402,24,35,65,73,19,femenino,Lota
403,19,31,90,43,37,prefiero no decirlo,Tomé
404,20,9,51,85,65,femenino,Arauco
405,18,33,97,98,65,prefiero no decirlo,Hualpén
406,19,15,67,4,100,masculino,Penco
407,21,6,60,91,51,femenino,Coronel
408,22,10,33,66,84,masculino,Concepción
409,19,8,64,93,50,prefiero no decirlo,Penco
410,25,8,78,82,54,prefiero no decirlo,Lota
411,22,10,89,29,20,prefiero no decirlo,San Pedro
412,22,33,83,53,19,prefiero no decirlo,Hualpén
413,24,36,57,82,18,masculino,Lota
414,21,39,53,82,56,femenino,Arauco
415,24,18,35,1,20,femenino,Tomé
416,19,31,73,29,62,prefiero no decirlo,San Pedro
417,23,10,92,32,10,masculino,Lota
418,21,32,88,22,8,prefiero no decirlo,Tomé
419,24,34,98,26,36,prefiero no decirlo,Coronel
420,25,10,9,18,90,prefiero no decirlo,Lota
421,19,17,54,71,33,prefiero no decirlo,Arauco
422,21,22,73,10,98,prefiero no decirlo,Tomé
423,19,34,98,60,71,masculino,Penco
424,19,18,63,30,18,masculino,Hualpén
425,20,25,50,55,43,femenino,Coronel
426,24,12,40,55,20,masculino,Arauco
427,25,30,97,53,2,masculino,Hualpén
428,21,14,66,40,25,masculino,Arauco
429,25,12,31,8,25,femenino,Arauco
430,23,9,36,36,38,prefiero no decirlo,Coronel
431,20,30,57,19,85,femenino,San Pedro
432,19,8,76,10,37,femenino,Coronel
433,21,36,56,47,1,masculino,Coronel
434,22,16,14,55,63,femenino,Penco
435,25,10,61,90,79,masculino,Penco
436,22,11,28,8,92,masculino,Lota
437,18,7,26,25,71,prefiero no decirlo,Penco
438,23,19,50,56,76,masculino,Penco
439,23,33,9,39,94,masculino,Concepción
440,24,30,76,29,18,prefiero no decirlo,Lota
441,23,29,17,60,76,masculino,Hualpén
442,20,15,61,28,44,prefiero no decirlo,Lota
443,18,35,64,30,3,masculino,Coronel
444,21,26,97,33,35,masculino,Concepción
445,23,32,8,79,10,masculino,Hualpén
446,21,39,45,78,91,masculino,Hualpén
447,20,17,20,20,86,prefiero no decirlo,Hualpén
448,20,13,22,66,44,prefiero no decirlo,Concepción
449,19,27,7,9,91,prefiero no decirlo,Concepción
450,19,7,89,27,36,femenino,San Pedro
451,21,10,72,100,88,prefiero no decirlo,Arauco
452,22,11,20,40,56,masculino,Penco
453,20,33,93,53,35,masculino,Penco
454,22,22,79,86,50,masculino,Penco
455,25,31,83,83,82,masculino,Concepción
456,25,7,38,46,94,masculino,Arauco
457,21,26,60,76,66,masculino,Hualpén
458,25,14,3,68,40,prefiero no decirlo,Lota
459,23,32,93,80,88,femenino,Tomé
460,18,36,67,53,16,prefiero no decirlo,Lota
461,19,8,22,78,70,prefiero no decirlo,Concepción
462,22,11,37,99,83,prefiero no decirlo,Tomé
463,25,27,21,33,98,masculino,Arauco
464,21,5,100,74,55,femenino,San Pedro
465,20,35,53,85,25,prefiero no decirlo,Concepción
466,18,13,5,65,10,masculino,Concepción
467,18,26,68,82,25,femenino,Penco
468,25,25,89,10,15,masculino,San Pedro
469,23,17,2,55,37,masculino,San Pedro
470,20,5,24,3,76,femenino,Hualpén
471,21,11,62,1,63,prefiero no decirlo,Lota
472,22,5,75,84,48,femenino,Hualpén
473,20,11,87,84,22,femenino,Hualpén
474,21,24,32,19,50,prefiero no decirlo,Hualpén
475,18,35,75,13,72,femenino,Tomé
476,23,38,14,48,92,prefiero no decirlo,Concepción
477,21,24,78,7,98,masculino,San Pedro
478,19,13,81,100,70,femenino,Tomé
479,19,13,43,98,70,femenino,Coronel
480,20,36,82,52,14,femenino,Concepción
481,19,10,22,66,81,prefiero no decirlo,Penco
482,21,24,59,10,79,femenino,San Pedro
483,25,35,36,5,38,femenino,Coronel
484,21,31,23,5,52,femenino,San Pedro
485,18,11,87,55,53,prefiero no decirlo,Concepción
486,22,16,66,8,50,prefiero no decirlo,Tomé
487,22,28,74,78,51,prefiero no decirlo,Tomé
488,24,12,55,28,29,femenino,Lota
489,25,17,85,9,50,femenino,Penco
490,18,11,57,10,16,prefiero no decirlo,Concepción
491,20,7,76,28,25,masculino,Concepción
492,18,25,82,55,24,prefiero no decirlo,Coronel
493,23,30,64,83,72,femenino,Coronel
494,24,7,79,66,84,prefiero no decirlo,Hualpén
495,21,8,29,38,83,prefiero no decirlo,Tomé
496,25,30,29,16,27,prefiero no decirlo,Hualpén
497,22,36,33,28,16,femenino,Concepción
498,20,39,93,67,48,prefiero no decirlo,Arauco
499,20,20,10,79,51,prefiero no decirlo,Coronel
500,19,30,24,22,42,femenino,Concepción
501,24,32,1,40,33,masculino,Concepción
502,24,12,78,89,42,prefiero no decirlo,Coronel
503,22,7,19,36,65,femenino,Lota
504,24,23,64,38,17,prefiero no decirlo,Lota
505,24,20,61,83,15,masculino,Hualpén
506,23,12,30,35,9,masculino,Coronel
507,19,33,7,18,32,masculino,Arauco
508,19,10,80,100,19,masculino,San Pedro
509,24,24,19,16,32,femenino,Tomé
510,20,15,84,8,29,femenino,Tomé
511,24,17,38,66,43,femenino,Arauco
512,18,36,46,23,78,masculino,San Pedro
513,23,29,15,85,87,prefiero no decirlo,Hualpén
514,18,21,6,93,14,prefiero no decirlo,San Pedro
515,19,14,18,63,14,femenino,Coronel
516,20,8,20,66,82,masculino,Penco
517,25,16,78,62,49,femenino,Tomé
518,21,11,47,15,62,prefiero no decirlo,Tomé
519,25,27,30,51,30,masculino,Tomé
520,18,39,95,41,27,femenino,Tomé
521,21,19,46,9,79,prefiero no decirlo,San Pedro
522,24,21,6,74,23,femenino,San Pedro
523,18,30,30,44,29,prefiero no decirlo,Coronel
524,19,12,3,47,51,prefiero no decirlo,Arauco
525,18,24,8,75,83,femenino,Hualpén
526,21,9,15,38,97,masculino,Lota
527,24,33,50,64,1,femenino,San Pedro
528,23,19,59,59,13,femenino,Lota
529,22,26,49,34,18,masculino,Arauco
530,25,6,21,17,90,masculino,Penco
531,19,26,69,81,34,prefiero no decirlo,Arauco
532,25,28,96,25,3,femenino,Hualpén
533,22,9,81,48,97,femenino,Lota
534,18,5,4,24,6,masculino,Penco
535,21,35,100,57,20,prefiero no decirlo,Penco
536,22,15,80,95,62,prefiero no decirlo,Penco
537,22,10,62,95,59,masculino,Concepción
538,22,30,22,32,28,femenino,Arauco
539,18,9,2,76,39,femenino,Lota
540,20,25,12,81,45,masculino,Concepción
541,18,32,11,6,61,masculino,Concepción
542,24,18,2,25,49,masculino,San Pedro
543,19,15,60,95,76,masculino,Hualpén
544,21,16,43,39,58,femenino,Concepción
545,18,12,53,79,23,prefiero no decirlo,Hualpén
546,20,20,22,2,91,masculino,Lota
547,21,38,71,78,70,femenino,San Pedro
548,18,30,32,13,54,femenino,Penco
549,25,14,95,5,2,femenino,Arauco
550,22,39,64,25,28,femenino,Arauco
551,19,20,52,22,26,prefiero no decirlo,Coronel
552,21,39,55,84,80,masculino,Concepción
553,24,9,71,7,56,femenino,Hualpén
554,19,13,32,27,56,prefiero no decirlo,Arauco
555,18,17,56,72,6,femenino,Coronel
556,21,35,95,99,17,femenino,Tomé
557,20,33,11,19,72,masculino,Penco
558,19,13,75,96,77,masculino,Concepción
559,21,16,43,92,32,femenino,Arauco
560,22,20,91,32,94,masculino,Arauco
561,25,19,26,24,74,femenino,Coronel
562,25,37,88,3,94,prefiero no decirlo,Hualpén
563,23,8,73,70,23,prefiero no decirlo,Arauco
564,22,10,95,39,35,masculino,Concepción
565,18,34,27,5,88,femenino,Tomé
566,22,36,94,26,43,masculino,Concepción
567,22,28,32,56,36,masculino,Concepción
568,22,35,66,37,51,prefiero no decirlo,San Pedro
569,23,11,6,22,61,femenino,Concepción
570,20,24,59,14,28,masculino,Penco
571,18,30,41,3,22,femenino,San Pedro
572,21,38,77,24,98,masculino,Concepción
573,22,16,95,21,81,masculino,Lota
574,23,15,25,56,18,femenino,San Pedro
575,23,17,74,2,17,femenino,San Pedro
576,25,16,58,60,58,masculino,Arauco
577,21,37,64,15,19,femenino,Coronel
578,23,20,55,44,92,masculino,Coronel
579,22,29,21,30,88,femenino,Tomé
580,18,37,2,16,51,prefiero no decirlo,Arauco
581,22,33,84,4,7,femenino,Arauco
582,25,7,46,18,38,prefiero no decirlo,Coronel
583,24,29,1,40,98,prefiero no decirlo,Concepción
584,25,19,6,69,24,femenino,Lota
585,18,26,47,51,14,femenino,Tomé
586,20,38,84,61,41,masculino,Tomé
587,22,20,76,23,67,prefiero no decirlo,Penco
588,23,17,92,81,6,femenino,Tomé
589,18,31,33,16,30,femenino,Lota
590,20,39,41,31,49,masculino,Hualpén
591,22,12,72,43,12,prefiero no decirlo,Lota
592,23,25,21,89,28,femenino,Arauco
593,23,11,3,95,9,prefiero no decirlo,Hualpén
594,23,27,26,100,81,masculino,Coronel
595,21,13,21,19,89,prefiero no decirlo,San Pedro
596,21,25,65,95,1,femenino,Lota
597,21,8,27,51,56,prefiero no decirlo,Arauco
598,21,7,66,98,76,prefiero no decirlo,Hualpén
599,19,12,48,67,45,masculino,Lota
600,25,38,83,44,77,masculino,Arauco
601,21,16,41,16,48,masculino,Lota
602,22,18,64,45,27,femenino,San Pedro
603,24,38,76,83,66,masculino,Arauco
604,18,21,73,51,29,femenino,Coronel
605,20,19,7,46,68,prefiero no decirlo,Lota
